#ActLogModel=2.0.0
+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 2.2.3
LOG_FILE_VERSION : 1.0.4
LOG_CREATION_SV : 2.2.3
SUBJECT_NAME : ADIDL_BAUA_S20
SUBJECT_GENDER : 
SUBJECT_DATE_OF_BIRTH : 01/01/2000
SUBJECT_DESCRIPTION : 
DEVICE_ID : 2003462
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 3590036
MEMORY_USAGE : 44.94 %
BATTERY_VOLTAGE : 4.19922
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 10
DATA_CORRECTION : 0
DATA_CORRECTION : 0
FILE_DATE_TIME : 29/09/2025 15:46:29
CONNECTION_SYSTEM_DATE_TIME : 29/09/2025 15:44:21
CONNECTION_DEVICE_DATE_TIME : 29/09/2025 15:44:22
DEVICE_PLACEMENT : Undefined
SCORING_INFO : 
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE
18/09/2025 10:10:06;0;0;21.96;21.94;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:10:14;0;0;21.95;21.88;0;0;0;0;0;0;0;30.64;12.42;2.69;9.16;8.82;2.31;0.00;0.00;0
18/09/2025 10:10:24;0;0;21.91;21.75;0;0;0;0;0;0;0;30.81;12.49;2.68;9.17;8.84;2.32;0.00;0.00;0
18/09/2025 10:10:34;0;0;21.90;21.62;0;432;43.2;23;2.3;18;1.8;27.06;10.96;2.34;7.87;7.35;1.93;0.00;0.00;0
18/09/2025 10:10:44;0;0;21.88;21.56;0;904;90.4;73;7.3;20;2;23.18;9.39;2.46;7.79;7.75;2.86;0.00;0.00;0
18/09/2025 10:10:54;0;0;21.86;21.56;0;678;67.8;57;5.7;8;0.8;18.84;7.63;2.40;6.59;7.68;2.98;0.00;0.00;0
18/09/2025 10:11:04;0;0;21.85;21.50;0;556;55.6;45;4.5;16;1.6;37.77;15.30;3.67;11.93;11.93;3.69;0.00;0.00;0
18/09/2025 10:11:14;0;0;21.83;21.50;0;0;0;0;0;0;0;242.97;98.46;11.26;69.84;61.55;9.54;0.00;0.00;0
18/09/2025 10:11:24;0;0;21.81;21.44;0;1206;120.6;66;6.6;39;3.9;129.12;52.32;6.40;37.45;33.51;5.74;0.00;0.00;0
18/09/2025 10:11:34;0;0;21.79;21.44;0;1478;147.8;84;8.4;41;4.1;186.87;75.72;23.31;75.71;89.62;11.72;0.00;0.00;0
18/09/2025 10:11:44;0;0;21.83;21.44;0;37;3.7;5;0.5;1;0.1;6.68;2.70;0.50;1.93;1.94;0.42;0.00;0.00;0
18/09/2025 10:11:54;0;0;21.85;21.44;0;0;0;0;0;0;0;18.08;7.33;1.16;4.65;4.57;0.75;0.00;0.00;0
18/09/2025 10:12:04;0;0;21.86;21.38;0;417;41.7;26;2.6;10;1;21.57;8.74;1.57;6.05;5.78;1.20;0.00;0.00;0
18/09/2025 10:12:14;0;0;21.82;21.38;0;774;77.4;67;6.7;13;1.3;10.04;4.07;1.62;3.77;4.48;2.05;0.00;0.00;0
18/09/2025 10:12:24;0;0;21.80;21.38;0;286;28.6;23;2.3;0;0;23.80;9.64;3.13;7.47;8.00;2.89;0.00;0.00;0
18/09/2025 10:12:34;0;0;21.79;21.38;0;110;11;6;0.6;0;0;19.43;7.87;2.58;6.45;7.38;2.81;0.00;0.00;0
18/09/2025 10:12:44;0;0;21.78;21.38;0;189;18.9;11;1.1;1;0.1;21.57;8.74;2.56;6.78;7.02;2.73;0.00;0.00;0
18/09/2025 10:12:54;0;0;21.74;21.38;0;168;16.8;13;1.3;1;0.1;11.91;4.82;1.63;4.29;4.64;1.83;0.00;0.00;0
18/09/2025 10:13:04;0;0;21.75;21.38;0;105;10.5;5;0.5;0;0;8.52;3.45;1.35;3.02;3.74;1.51;0.00;0.00;0
18/09/2025 10:13:14;0;0;21.73;21.44;0;16;1.6;1;0.1;0;0;4.35;1.76;0.92;1.86;2.61;1.20;0.00;0.00;0
18/09/2025 10:13:24;0;0;21.73;21.44;0;152;15.2;11;1.1;0;0;6.85;2.78;1.20;2.59;3.35;1.46;0.00;0.00;0
18/09/2025 10:13:34;0;0;21.70;21.44;0;88;8.8;6;0.6;0;0;157.03;63.63;18.73;50.09;64.13;15.83;0.00;0.00;0
18/09/2025 10:13:44;0;0;21.69;21.44;0;281;28.1;20;2;5;0.5;214.82;87.05;15.53;59.42;50.36;11.94;0.00;0.00;0
18/09/2025 10:13:54;0;0;21.69;21.50;0;57;5.7;2;0.2;0;0;266.49;107.99;17.61;68.99;55.71;7.60;0.00;0.00;0
18/09/2025 10:14:04;0;0;21.67;21.50;0;39;3.9;2;0.2;0;0;329.22;133.41;22.29;84.47;68.16;9.31;0.00;0.00;0
18/09/2025 10:14:14;0;0;21.65;21.50;0;395;39.5;24;2.4;1;0.1;403.73;163.60;69.62;135.02;199.97;35.62;0.00;0.00;0
18/09/2025 10:14:24;0;0;21.63;21.50;0;10;1;0;0;0;0;740.32;299.99;54.43;195.01;159.68;31.28;0.00;0.00;0
18/09/2025 10:14:34;0;0;21.61;21.56;0;93;9.3;5;0.5;0;0;776.29;314.57;58.09;203.25;165.45;32.33;0.00;0.00;0
18/09/2025 10:14:44;0;0;21.58;21.56;0;52;5.2;1;0.1;0;0;1016.87;412.06;74.87;263.48;212.98;38.12;0.00;0.00;0
18/09/2025 10:14:54;0;0;21.56;21.56;0;199;19.9;11;1.1;0;0;1117.76;452.94;83.49;286.70;229.94;39.59;0.00;0.00;0
18/09/2025 10:15:04;0;0;21.53;21.62;0;125;12.5;7;0.7;0;0;994.52;403.00;72.96;258.47;208.84;36.25;0.00;0.00;0
18/09/2025 10:15:14;0;0;21.52;21.62;0;102;10.2;5;0.5;0;0;881.71;357.29;64.90;230.48;187.13;33.86;0.00;0.00;0
18/09/2025 10:15:24;0;0;21.48;21.62;0;205;20.5;13;1.3;0;0;1015.53;411.51;70.16;266.04;215.27;36.36;0.00;0.00;0
18/09/2025 10:15:34;0;0;21.45;21.56;0;76;7.6;3;0.3;0;0;972.25;393.97;67.86;254.83;207.61;35.31;0.00;0.00;0
18/09/2025 10:15:44;0;0;21.44;21.62;0;342;34.2;22;2.2;8;0.8;869.03;352.15;60.13;229.23;187.02;32.50;0.00;0.00;0
18/09/2025 10:15:54;0;0;21.42;21.62;0;75;7.5;2;0.2;1;0.1;1842.85;746.76;145.14;597.13;483.04;69.28;0.00;0.00;0
18/09/2025 10:16:04;0;0;21.41;21.62;0;63;6.3;4;0.4;0;0;4176.79;1692.52;257.93;1082.26;851.63;118.80;0.00;0.00;0
18/09/2025 10:16:14;0;0;21.39;21.62;0;537;53.7;46;4.6;0;0;3317.35;1344.26;210.58;851.63;675.03;88.88;0.00;0.00;0
18/09/2025 10:16:24;0;0;21.39;21.62;0;867;86.7;66;6.6;15;1.5;308.94;125.19;18.59;88.59;66.81;11.04;0.00;0.00;0
18/09/2025 10:16:34;0;0;21.38;21.62;0;1142;114.2;82;8.2;29;2.9;14.55;5.90;2.46;5.32;6.41;2.62;0.00;0.00;0
18/09/2025 10:16:44;0;0;21.44;21.56;0;1483;148.3;135;13.5;41;4.1;110.30;44.69;8.47;29.67;24.91;5.14;0.00;0.00;0
18/09/2025 10:16:54;0;0;21.47;21.56;0;647;64.7;67;6.7;5;0.5;231.97;94.00;13.55;63.58;53.40;8.38;0.00;0.00;0
18/09/2025 10:17:04;0;0;21.49;21.56;0;1681;168.1;92;9.2;50;5;43.97;17.82;3.81;13.90;14.94;4.23;0.00;0.00;0
18/09/2025 10:17:14;0;0;21.50;21.56;0;2145;214.5;143;14.3;67;6.7;207.65;84.14;13.12;55.18;47.18;7.19;0.00;0.00;0
18/09/2025 10:17:24;0;0;21.52;21.50;0;701;70.1;54;5.4;6;0.6;300.75;121.87;28.31;106.61;137.68;20.29;0.00;0.00;0
18/09/2025 10:17:34;0;0;21.53;21.50;0;638;63.8;43;4.3;12;1.2;422.96;171.39;22.15;115.64;96.76;13.60;0.00;0.00;0
18/09/2025 10:17:44;0;0;21.56;21.50;0;1354;135.4;62;6.2;48;4.8;64.33;26.07;3.79;18.28;15.36;2.70;0.00;0.00;0
18/09/2025 10:17:54;0;0;21.56;21.50;0;345;34.5;14;1.4;11;1.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:18:04;0;0;21.59;21.50;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:18:14;0;0;21.59;21.50;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:18:24;0;0;21.60;21.50;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:18:34;0;0;21.62;21.44;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:18:44;0;0;21.64;21.44;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:18:54;0;0;21.64;21.44;0;3;0.3;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:19:04;0;0;21.65;21.44;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:19:14;0;0;21.66;21.44;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:19:24;0;0;21.66;21.44;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:19:34;0;0;21.67;21.44;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:19:44;0;0;21.67;21.44;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:19:54;0;0;21.66;21.44;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:20:04;0;0;21.69;21.44;0;0;0;0;0;0;0;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:20:14;0;0;21.69;21.44;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:20:24;0;0;21.69;21.44;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:20:34;0;0;21.68;21.44;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:20:44;0;0;21.69;21.38;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:20:54;0;0;21.69;21.38;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:21:04;0;0;21.69;21.38;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:21:14;0;0;21.68;21.44;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:21:24;0;0;21.68;21.38;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:21:34;0;0;21.68;21.38;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:21:44;0;0;21.68;21.38;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:21:54;0;0;21.67;21.38;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:22:04;0;0;21.67;21.38;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
18/09/2025 10:22:14;0;0;21.67;21.38;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
