#ActLogModel=2.0.0
+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 2.2.3
LOG_FILE_VERSION : 1.0.4
LOG_CREATION_SV : 2.2.3
SUBJECT_NAME : ADIDL_BAUA_S11
SUBJECT_GENDER : 
SUBJECT_DATE_OF_BIRTH : 31/12/1999
SUBJECT_DESCRIPTION : 
DEVICE_ID : 2003249
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 2933841
MEMORY_USAGE : 36.73 %
BATTERY_VOLTAGE : 4.21875
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 10
DATA_CORRECTION : 0
DATA_CORRECTION : 0
FILE_DATE_TIME : 06/10/2025 13:46:46
CONNECTION_SYSTEM_DATE_TIME : 06/10/2025 13:44:47
CONNECTION_DEVICE_DATE_TIME : 01/01/1970 00:00:06
DEVICE_PLACEMENT : Undefined
SCORING_INFO : 
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE
17/09/2025 09:16:38;0;0;23.56;23.31;0;1868;186.8;115;11.5;65;6.5;148.00;59.97;9.35;36.76;29.51;3.34;0.00;0.00;0
17/09/2025 09:16:48;0;0;23.60;23.31;0;1799;179.9;101;10.1;64;6.4;67.18;27.22;6.85;15.61;9.59;1.92;0.00;0.00;0
17/09/2025 09:16:58;0;0;23.61;23.31;0;1047;104.7;66;6.6;30;3;84.69;34.32;5.05;21.65;16.44;1.88;0.00;0.00;0
17/09/2025 09:17:08;0;0;23.63;23.31;0;1411;141.1;89;8.9;33;3.3;76.57;31.03;5.91;18.67;14.17;2.11;0.00;0.00;0
17/09/2025 09:17:18;0;0;23.62;23.31;0;1701;170.1;101;10.1;43;4.3;38.45;15.58;2.22;10.47;7.92;1.40;0.00;0.00;0
17/09/2025 09:17:28;0;0;23.61;23.31;0;0;0;0;0;0;0;23.16;9.39;1.55;6.32;4.64;0.94;0.00;0.00;0
17/09/2025 09:17:38;0;0;23.59;23.38;0;0;0;0;0;0;0;23.35;9.46;1.54;6.34;4.65;0.94;0.00;0.00;0
17/09/2025 09:17:48;0;0;23.56;23.31;0;0;0;0;0;0;0;23.43;9.49;1.54;6.39;4.64;0.94;0.00;0.00;0
17/09/2025 09:17:58;0;0;23.52;23.38;0;0;0;0;0;0;0;23.40;9.48;1.54;6.36;4.64;0.93;0.00;0.00;0
17/09/2025 09:18:08;0;0;23.50;23.38;0;0;0;0;0;0;0;23.36;9.47;1.54;6.37;4.64;0.94;0.00;0.00;0
17/09/2025 09:18:18;0;0;23.46;23.31;0;0;0;0;0;0;0;23.28;9.44;1.55;6.34;4.64;0.94;0.00;0.00;0
17/09/2025 09:18:28;0;0;23.43;23.31;0;0;0;0;0;0;0;23.31;9.44;1.54;6.32;4.65;0.95;0.00;0.00;0
17/09/2025 09:18:38;0;0;23.40;23.31;0;0;0;0;0;0;0;23.30;9.44;1.54;6.32;4.63;0.93;0.00;0.00;0
17/09/2025 09:18:48;0;0;23.38;23.31;0;0;0;0;0;0;0;23.34;9.46;1.54;6.33;4.63;0.93;0.00;0.00;0
17/09/2025 09:18:58;0;0;23.35;23.31;0;0;0;0;0;0;0;23.41;9.49;1.54;6.37;4.65;0.93;0.00;0.00;0
17/09/2025 09:19:08;0;0;23.31;23.31;0;0;0;0;0;0;0;23.45;9.50;1.54;6.38;4.64;0.93;0.00;0.00;0
17/09/2025 09:19:18;0;0;23.29;23.31;0;0;0;0;0;0;0;23.37;9.47;1.54;6.34;4.64;0.92;0.00;0.00;0
17/09/2025 09:19:28;0;0;23.29;23.25;0;0;0;0;0;0;0;23.22;9.41;1.54;6.29;4.65;0.92;0.00;0.00;0
17/09/2025 09:19:38;0;0;23.26;23.25;0;0;0;0;0;0;0;23.09;9.36;1.54;6.27;4.65;0.92;0.00;0.00;0
17/09/2025 09:19:48;0;0;23.22;23.25;0;0;0;0;0;0;0;23.09;9.36;1.54;6.29;4.62;0.93;0.00;0.00;0
17/09/2025 09:19:58;0;0;23.21;23.25;0;0;0;0;0;0;0;23.17;9.39;1.54;6.28;4.64;0.92;0.00;0.00;0
17/09/2025 09:20:08;0;0;23.18;23.19;0;0;0;0;0;0;0;23.37;9.47;1.54;6.34;4.65;0.93;0.00;0.00;0
17/09/2025 09:20:18;0;0;23.18;23.19;0;0;0;0;0;0;0;23.51;9.53;1.54;6.36;4.64;0.93;0.00;0.00;0
17/09/2025 09:20:28;0;0;23.15;23.19;0;0;0;0;0;0;0;23.71;9.61;1.54;6.42;4.63;0.93;0.00;0.00;0
17/09/2025 09:20:38;0;0;23.12;23.12;0;0;0;0;0;0;0;23.88;9.68;1.54;6.49;4.65;0.94;0.00;0.00;0
17/09/2025 09:20:48;0;0;23.11;23.12;0;0;0;0;0;0;0;23.97;9.71;1.54;6.50;4.65;0.93;0.00;0.00;0
17/09/2025 09:20:58;0;0;23.09;23.12;0;0;0;0;0;0;0;24.14;9.78;1.54;6.56;4.65;0.93;0.00;0.00;0
17/09/2025 09:21:08;0;0;23.06;23.12;0;0;0;0;0;0;0;24.32;9.85;1.54;6.61;4.63;0.94;0.00;0.00;0
17/09/2025 09:21:18;0;0;23.05;23.06;0;0;0;0;0;0;0;24.65;9.99;1.54;6.75;4.64;0.98;0.00;0.00;0
17/09/2025 09:21:28;0;0;23.02;23.06;0;0;0;0;0;0;0;25.10;10.17;1.55;6.92;4.65;1.03;0.00;0.00;0
17/09/2025 09:21:38;0;0;23.00;23.06;0;0;0;0;0;0;0;26.25;10.64;1.64;7.22;4.83;1.12;0.00;0.00;0
17/09/2025 09:21:48;0;0;22.98;23.06;0;0;0;0;0;0;0;29.88;12.11;2.15;8.34;5.67;1.35;0.00;0.00;0
17/09/2025 09:21:58;0;0;22.98;23.00;0;0;0;0;0;0;0;30.36;12.30;2.17;8.45;5.77;1.40;0.00;0.00;0
17/09/2025 09:22:08;0;0;22.95;23.00;0;0;0;0;0;0;0;31.37;12.71;2.32;8.83;6.02;1.51;0.00;0.00;0
17/09/2025 09:22:18;0;0;22.92;23.00;0;0;0;0;0;0;0;28.88;11.70;1.98;7.99;5.45;1.28;0.00;0.00;0
17/09/2025 09:22:28;0;0;22.91;22.94;0;0;0;0;0;0;0;26.00;10.53;1.63;7.05;4.66;1.13;0.00;0.00;0
17/09/2025 09:22:38;0;0;22.89;22.94;0;0;0;0;0;0;0;25.93;10.51;1.61;7.05;4.64;1.12;0.00;0.00;0
17/09/2025 09:22:48;0;0;22.87;22.94;0;0;0;0;0;0;0;26.08;10.57;1.62;7.06;4.69;1.13;0.00;0.00;0
17/09/2025 09:22:58;0;0;22.84;22.94;0;0;0;0;0;0;0;26.91;10.91;1.71;7.33;5.01;1.13;0.00;0.00;0
17/09/2025 09:23:08;0;0;22.82;22.88;0;0;0;0;0;0;0;27.87;11.29;1.82;7.63;5.23;1.15;0.00;0.00;0
17/09/2025 09:23:18;0;0;22.80;22.88;0;0;0;0;0;0;0;27.99;11.34;1.82;7.70;5.27;1.15;0.00;0.00;0
17/09/2025 09:23:28;0;0;22.78;22.88;0;0;0;0;0;0;0;30.74;12.46;2.19;8.59;5.87;1.38;0.00;0.00;0
17/09/2025 09:23:38;0;0;22.77;22.81;0;0;0;0;0;0;0;33.07;13.40;2.32;9.26;6.44;1.53;0.00;0.00;0
17/09/2025 09:23:48;0;0;22.75;22.81;0;0;0;0;0;0;0;34.38;13.93;2.32;9.64;6.76;1.57;0.00;0.00;0
17/09/2025 09:23:58;0;0;22.72;22.81;0;0;0;0;0;0;0;33.50;13.57;2.32;9.33;6.56;1.53;0.00;0.00;0
17/09/2025 09:24:08;0;0;22.71;22.81;0;0;0;0;0;0;0;34.22;13.87;2.32;9.58;6.79;1.54;0.00;0.00;0
17/09/2025 09:24:18;0;0;22.69;22.75;0;0;0;0;0;0;0;33.17;13.44;2.32;9.24;6.46;1.49;0.00;0.00;0
17/09/2025 09:24:28;0;0;22.67;22.75;0;0;0;0;0;0;0;31.12;12.61;2.23;8.70;5.97;1.36;0.00;0.00;0
17/09/2025 09:24:38;0;0;22.66;22.75;0;0;0;0;0;0;0;31.06;12.59;2.21;8.65;5.97;1.33;0.00;0.00;0
17/09/2025 09:24:48;0;0;22.64;22.75;0;0;0;0;0;0;0;30.09;12.19;2.06;8.31;5.77;1.22;0.00;0.00;0
17/09/2025 09:24:58;0;0;22.62;22.69;0;0;0;0;0;0;0;30.72;12.45;2.11;8.51;5.92;1.26;0.00;0.00;0
17/09/2025 09:25:08;0;0;22.61;22.69;0;0;0;0;0;0;0;33.06;13.40;2.32;9.13;6.47;1.47;0.00;0.00;0
17/09/2025 09:25:18;0;0;22.59;22.69;0;0;0;0;0;0;0;35.50;14.39;2.32;9.98;7.03;1.53;0.00;0.00;0
17/09/2025 09:25:28;0;0;22.56;22.62;0;0;0;0;0;0;0;35.11;14.23;2.32;9.91;7.02;1.54;0.00;0.00;0
17/09/2025 09:25:38;0;0;22.54;22.62;0;0;0;0;0;0;0;37.90;15.36;2.59;10.71;7.49;1.71;0.00;0.00;0
17/09/2025 09:25:48;0;0;22.54;22.62;0;0;0;0;0;0;0;37.55;15.22;2.51;10.61;7.43;1.66;0.00;0.00;0
17/09/2025 09:25:58;0;0;22.52;22.56;0;0;0;0;0;0;0;37.55;15.22;2.49;10.58;7.33;1.64;0.00;0.00;0
17/09/2025 09:26:08;0;0;22.49;22.56;0;0;0;0;0;0;0;36.11;14.63;2.32;10.18;7.17;1.53;0.00;0.00;0
17/09/2025 09:26:18;0;0;22.48;22.56;0;0;0;0;0;0;0;35.67;14.46;2.32;10.05;7.10;1.54;0.00;0.00;0
17/09/2025 09:26:28;0;0;22.46;22.56;0;0;0;0;0;0;0;36.32;14.72;2.32;10.25;7.26;1.54;0.00;0.00;0
17/09/2025 09:26:38;0;0;22.45;22.50;0;0;0;0;0;0;0;38.42;15.57;2.59;10.85;7.58;1.71;0.00;0.00;0
17/09/2025 09:26:48;0;0;22.43;22.50;0;0;0;0;0;0;0;39.97;16.20;2.73;11.31;7.97;1.82;0.00;0.00;0
17/09/2025 09:26:58;0;0;22.40;22.50;0;0;0;0;0;0;0;40.85;16.55;2.81;11.53;8.19;1.91;0.00;0.00;0
17/09/2025 09:27:08;0;0;22.38;22.44;0;0;0;0;0;0;0;42.30;17.14;2.96;11.84;8.64;2.05;0.00;0.00;0
17/09/2025 09:27:18;0;0;22.37;22.44;0;0;0;0;0;0;0;41.27;16.72;2.86;11.60;8.30;1.96;0.00;0.00;0
17/09/2025 09:27:28;0;0;22.35;22.44;0;0;0;0;0;0;0;42.94;17.40;3.04;12.09;8.90;2.08;0.00;0.00;0
17/09/2025 09:27:38;0;0;22.34;22.44;0;0;0;0;0;0;0;42.72;17.31;3.01;12.00;8.80;2.07;0.00;0.00;0
17/09/2025 09:27:48;0;0;22.32;22.38;0;0;0;0;0;0;0;42.72;17.31;3.01;12.04;8.80;2.07;0.00;0.00;0
17/09/2025 09:27:58;0;0;22.31;22.38;0;0;0;0;0;0;0;42.96;17.41;3.04;12.06;8.90;2.08;0.00;0.00;0
17/09/2025 09:28:08;0;0;22.29;22.38;0;0;0;0;0;0;0;43.47;17.61;3.10;12.26;9.10;2.14;0.00;0.00;0
17/09/2025 09:28:18;0;0;22.26;22.38;0;0;0;0;0;0;0;44.07;17.86;3.17;12.40;9.25;2.23;0.00;0.00;0
17/09/2025 09:28:28;0;0;22.25;22.38;0;0;0;0;0;0;0;44.34;17.97;3.21;12.55;9.29;2.29;0.00;0.00;0
17/09/2025 09:28:38;0;0;22.24;22.31;0;0;0;0;0;0;0;43.62;17.68;3.12;12.29;9.12;2.17;0.00;0.00;0
17/09/2025 09:28:48;0;0;22.22;22.31;0;0;0;0;0;0;0;43.09;17.46;3.06;12.13;8.89;2.11;0.00;0.00;0
17/09/2025 09:28:58;0;0;22.22;22.31;0;0;0;0;0;0;0;42.56;17.25;3.00;12.01;8.70;2.06;0.00;0.00;0
17/09/2025 09:29:08;0;0;22.19;22.25;0;0;0;0;0;0;0;39.74;16.10;2.73;11.23;7.83;1.81;0.00;0.00;0
17/09/2025 09:29:18;0;0;22.19;22.25;0;0;0;0;0;0;0;38.28;15.51;2.58;10.80;7.47;1.69;0.00;0.00;0
17/09/2025 09:29:28;0;0;22.16;22.25;0;0;0;0;0;0;0;37.81;15.32;2.53;10.69;7.40;1.65;0.00;0.00;0
17/09/2025 09:29:38;0;0;22.14;22.25;0;0;0;0;0;0;0;38.12;15.45;2.58;10.77;7.44;1.67;0.00;0.00;0
17/09/2025 09:29:48;0;0;22.13;22.19;0;0;0;0;0;0;0;40.13;16.26;2.73;11.32;7.92;1.82;0.00;0.00;0
17/09/2025 09:29:58;0;0;22.13;22.19;0;0;0;0;0;0;0;41.83;16.95;2.90;11.75;8.40;1.97;0.00;0.00;0
17/09/2025 09:30:08;0;0;22.11;22.19;0;0;0;0;0;0;0;42.41;17.19;2.95;11.92;8.63;2.02;0.00;0.00;0
17/09/2025 09:30:18;0;0;22.09;22.19;0;0;0;0;0;0;0;42.04;17.04;2.90;11.76;8.51;1.97;0.00;0.00;0
17/09/2025 09:30:28;0;0;22.07;22.12;0;0;0;0;0;0;0;40.62;16.46;2.78;11.42;8.10;1.87;0.00;0.00;0
17/09/2025 09:30:38;0;0;22.06;22.12;0;759;75.9;40;4;24;2.4;20.24;8.20;1.38;5.68;3.91;0.87;0.00;0.00;0
17/09/2025 09:30:48;0;0;22.03;22.12;0;2674;267.4;117;11.7;83;8.3;3.01;1.22;0.25;0.83;0.61;0.21;0.00;0.00;0
17/09/2025 09:30:58;0;0;22.09;22.12;0;2725;272.5;122;12.2;75;7.5;5.01;2.03;0.43;1.50;1.07;0.37;0.00;0.00;0
17/09/2025 09:31:08;0;0;22.12;22.12;0;1214;121.4;99;9.9;35;3.5;55.93;22.67;4.28;14.25;10.10;1.71;0.00;0.00;0
17/09/2025 09:31:18;0;0;22.15;22.12;0;1991;199.1;128;12.8;72;7.2;30.17;12.23;2.46;7.60;5.09;0.91;0.00;0.00;0
17/09/2025 09:31:28;0;0;22.18;22.12;0;2194;219.4;134;13.4;72;7.2;50.88;20.62;4.14;12.74;8.87;1.69;0.00;0.00;0
17/09/2025 09:31:38;0;0;22.22;22.12;0;2562;256.2;110;11;96;9.6;3.27;1.33;0.27;0.85;0.55;0.13;0.00;0.00;0
17/09/2025 09:31:48;0;0;22.27;22.12;0;1405;140.5;96;9.6;37;3.7;0.20;0.08;0.02;0.05;0.03;0.01;0.00;0.00;0
17/09/2025 09:31:58;0;0;22.35;22.12;0;1773;177.3;106;10.6;58;5.8;3.79;1.54;0.21;1.03;0.72;0.10;0.00;0.00;0
17/09/2025 09:32:08;0;0;22.43;22.19;0;1737;173.7;72;7.2;73;7.3;0.42;0.17;0.04;0.13;0.09;0.03;0.00;0.00;0
17/09/2025 09:32:18;0;0;22.49;22.19;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:32:28;0;0;22.55;22.25;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:32:38;0;0;22.60;22.31;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:32:48;0;0;22.64;22.38;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:32:58;0;0;22.69;22.38;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:33:08;0;0;22.71;22.44;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:33:18;0;0;22.74;22.44;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:33:28;0;0;22.77;22.50;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:33:38;0;0;22.78;22.56;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:33:48;0;0;22.80;22.56;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:33:58;0;0;22.81;22.56;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:34:08;0;0;22.83;22.62;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:34:18;0;0;22.84;22.62;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:34:28;0;0;22.85;22.62;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:34:38;0;0;22.85;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:34:48;0;0;22.86;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:34:58;0;0;22.86;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:35:08;0;0;22.87;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:35:18;0;0;22.86;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:35:28;0;0;22.87;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:35:38;0;0;22.86;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:35:48;0;0;22.85;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:35:58;0;0;22.85;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:36:08;0;0;22.85;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:36:18;0;0;22.84;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:36:28;0;0;22.83;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:36:38;0;0;22.84;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:36:48;0;0;22.83;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:36:58;0;0;22.82;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:37:08;0;0;22.81;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:37:18;0;0;22.81;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:37:28;0;0;22.81;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:37:38;0;0;22.79;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:37:48;0;0;22.79;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:37:58;0;0;22.79;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:38:08;0;0;22.77;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:38:18;0;0;22.77;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:38:28;0;0;22.76;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:38:38;0;0;22.75;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:38:48;0;0;22.75;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:38:58;0;0;22.74;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:39:08;0;0;22.73;22.75;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:39:18;0;0;22.71;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:39:28;0;0;22.70;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:39:38;0;0;22.70;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:39:48;0;0;22.69;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:39:58;0;0;22.68;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:40:08;0;0;22.66;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:40:18;0;0;22.66;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:40:28;0;0;22.65;22.69;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:40:38;0;0;22.65;22.62;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:40:48;0;0;22.63;22.62;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:40:58;0;0;22.63;22.62;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:41:08;0;0;22.62;22.62;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:41:18;0;0;22.61;22.62;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:41:28;0;0;22.61;22.62;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:41:38;0;0;22.60;22.62;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:41:48;0;0;22.59;22.62;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:41:58;0;0;22.57;22.62;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:42:08;0;0;22.56;22.56;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:42:18;0;0;22.55;22.56;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:42:28;0;0;22.54;22.56;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:42:38;0;0;22.56;22.56;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:42:48;0;0;22.54;22.56;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:42:58;0;0;22.53;22.56;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
