#ActLogModel=2.0.0
+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 2.2.3
LOG_FILE_VERSION : 1.0.4
LOG_CREATION_SV : 2.2.3
SUBJECT_NAME : ADIDL_BAUA_S11
SUBJECT_GENDER : 
SUBJECT_DATE_OF_BIRTH : 31/12/1999
SUBJECT_DESCRIPTION : 
DEVICE_ID : 2003249
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 2933841
MEMORY_USAGE : 36.73 %
BATTERY_VOLTAGE : 4.21875
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 10
DATA_CORRECTION : 0
DATA_CORRECTION : 0
FILE_DATE_TIME : 06/10/2025 13:46:46
CONNECTION_SYSTEM_DATE_TIME : 06/10/2025 13:44:47
CONNECTION_DEVICE_DATE_TIME : 01/01/1970 00:00:06
DEVICE_PLACEMENT : Undefined
SCORING_INFO : 
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE
17/09/2025 09:15:02;0;0;23.17;23.50;0;38;2.16142e-08;3;1.70639e-09;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
17/09/2025 09:15:08;0;0;23.19;23.50;0;468;78;31;5.16667;6;1;6.90;2.80;0.40;1.92;0.80;0.11;0.00;0.00;0
17/09/2025 09:15:18;0;0;23.23;23.38;0;1398;139.8;89;8.9;26;2.6;16.13;6.54;1.05;4.75;1.93;0.31;0.00;0.00;0
17/09/2025 09:15:28;0;0;23.26;23.31;0;1280;128;80;8;25;2.5;8.97;3.63;0.87;2.38;0.96;0.23;0.00;0.00;0
17/09/2025 09:15:38;0;0;23.31;23.31;0;983;98.3;93;9.3;7;0.7;14.32;5.80;1.30;3.89;1.48;0.32;0.00;0.00;0
17/09/2025 09:15:48;0;0;23.35;23.31;0;942;94.2;79;7.9;5;0.5;18.64;7.55;1.64;5.08;1.86;0.41;0.00;0.00;0
17/09/2025 09:15:58;0;0;23.38;23.25;0;1023;102.3;66;6.6;6;0.6;20.62;8.36;1.55;5.85;2.27;0.41;0.00;0.00;0
17/09/2025 09:16:08;0;0;23.43;23.25;0;1458;145.8;74;7.4;38;3.8;47.35;19.19;4.23;12.77;5.23;1.06;0.00;0.00;0
17/09/2025 09:16:18;0;0;23.48;23.25;0;1183;118.3;55;5.5;23;2.3;40.35;16.35;3.90;10.47;4.61;1.05;0.00;0.00;0
17/09/2025 09:16:28;0;0;23.52;23.31;0;2014;201.4;114;11.4;73;7.3;63.53;25.74;10.66;23.25;30.33;3.67;0.00;0.00;0
