#ActLogModel=2.0.0
+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 2.2.3
LOG_FILE_VERSION : 1.0.4
LOG_CREATION_SV : 2.2.3
SUBJECT_NAME : ADIDL_BAUA_S14
SUBJECT_GENDER : 
SUBJECT_DATE_OF_BIRTH : 01/01/1916
SUBJECT_DESCRIPTION : 
DEVICE_ID : 2003460
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 1600842
MEMORY_USAGE : 20.04 %
BATTERY_VOLTAGE : 4.17969
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 10
DATA_CORRECTION : 0
DATA_CORRECTION : 0
FILE_DATE_TIME : 23/09/2025 15:40:53
CONNECTION_SYSTEM_DATE_TIME : 23/09/2025 15:39:57
CONNECTION_DEVICE_DATE_TIME : 23/09/2025 15:40:21
DEVICE_PLACEMENT : Undefined
SCORING_INFO : 
+-------------------------------------------------------+
DATE/TIME;MS;EVENT;TEMPERATURE;EXT TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;AMB LIGHT;RED LIGHT;GREEN LIGHT;BLUE LIGHT;IR LIGHT;UVA LIGHT;UVB LIGHT;STATE
18/09/2025 15:26:40;0;0;23.55;23.56;0;934;5.31222e-07;59;3.35569e-08;21;1.1944e-08;601.40;243.70;26.87;163.64;118.73;10.46;0.00;0.00;0
18/09/2025 15:26:50;0;0;23.65;23.44;0;200;20;10;1;0;0;928.52;376.26;51.12;244.11;179.90;18.59;0.00;0.00;0
18/09/2025 15:27:00;0;0;23.72;23.38;0;318;31.8;23;2.3;7;0.7;687.19;278.46;37.52;181.19;133.07;14.83;0.00;0.00;0
18/09/2025 15:27:10;0;0;23.80;23.31;0;79;7.9;4;0.4;0;0;466.95;189.22;22.84;125.21;90.52;8.33;0.00;0.00;0
18/09/2025 15:27:20;0;0;23.89;23.31;0;719;71.9;42;4.2;11;1.1;193.27;78.32;8.59;52.88;37.43;3.52;0.00;0.00;0
18/09/2025 15:27:30;0;0;23.98;23.31;0;231;23.1;14;1.4;3;0.3;11.35;4.60;0.75;3.17;2.04;0.34;0.00;0.00;0
18/09/2025 15:27:40;0;0;24.09;23.31;0;16;1.6;1;0.1;0;0;13.90;5.63;0.92;3.92;2.46;0.46;0.00;0.00;0
18/09/2025 15:27:50;0;0;24.19;23.31;0;271;27.1;14;1.4;6;0.6;9.42;3.82;0.67;2.63;1.60;0.34;0.00;0.00;0
18/09/2025 15:28:00;0;0;24.31;23.38;0;15;1.5;1;0.1;0;0;7.19;2.91;0.53;2.04;1.26;0.28;0.00;0.00;0
18/09/2025 15:28:10;0;0;24.44;23.44;0;1204;120.4;48;4.8;42;4.2;6.76;2.74;0.55;1.86;1.03;0.22;0.00;0.00;0
18/09/2025 15:28:20;0;0;24.53;23.50;0;1278;127.8;62;6.2;31;3.1;29.38;11.90;3.58;6.87;3.05;0.81;0.00;0.00;0
18/09/2025 15:28:30;0;0;24.62;23.56;0;181;18.1;10;1;0;0;9.67;3.92;0.99;2.43;1.08;0.27;0.00;0.00;0
18/09/2025 15:28:40;0;0;24.69;23.62;0;2129;212.9;93;9.3;74;7.4;5.09;2.06;0.49;1.35;0.52;0.13;0.00;0.00;0
18/09/2025 15:28:50;0;0;24.77;23.69;0;1357;135.7;69;6.9;31;3.1;18.65;7.56;1.62;4.78;2.36;0.47;0.00;0.00;0
18/09/2025 15:29:00;0;0;24.83;23.75;0;960;96;68;6.8;23;2.3;194.62;78.86;14.93;58.80;53.36;5.60;0.00;0.00;0
18/09/2025 15:29:10;0;0;24.91;23.81;0;385;38.5;35;3.5;1;0.1;363.94;147.48;20.77;94.67;70.03;7.20;0.00;0.00;0
18/09/2025 15:29:20;0;0;24.98;23.88;0;473;47.3;61;6.1;4;0.4;24.73;10.02;1.80;6.63;3.97;0.68;0.00;0.00;0
18/09/2025 15:29:30;0;0;25.03;23.94;0;697;69.7;79;7.9;15;1.5;48.24;19.55;3.49;12.54;8.23;1.17;0.00;0.00;0
18/09/2025 15:29:40;0;0;25.10;24.00;0;504;50.4;29;2.9;13;1.3;71.30;28.89;4.82;19.21;11.06;1.73;0.00;0.00;0
