#ActLogModel=2.0.0
+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 2.2.3
LOG_FILE_VERSION : 1.0.4
LOG_CREATION_SV : 2.2.3
SUBJECT_NAME : ADIDL_BAUA_S02
SUBJECT_GENDER : 
SUBJECT_DATE_OF_BIRTH : 01/01/2000
DEVICE_PLACEMENT : Collar
SUBJECT_DESCRIPTION : -
DEVICE_ID : 3887
DEVICE_MODEL : AL0101
HARDWARE_VERSION : 1.0
FIRMWARE_VERSION : 1.8
MEMORY_SIZE : 7963136
LOG_SIZE : 169860
MEMORY_USAGE : 2.13 %
BATTERY_VOLTAGE : 3.6796
ERROR_FLAG : -
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : -
ORIENTATION : 16
MODE : -
INTERVAL : -
DATA_CORRECTION : 0
DATA_CORRECTION : 0
FILE_DATE_TIME : 23/09/2025 16:36:05
CONNECTION_SYSTEM_DATE_TIME : 23/09/2025 16:35:39
CONNECTION_DEVICE_DATE_TIME : 01/01/2000 00:02:37
SCORING_INFO : 
+-------------------------------------------------------+
DATE/TIME;EVENT;TEMPERATURE;ORIENTATION;PIM;PIMn;TAT;TATn;ZCM;ZCMn;LIGHT;IR LIGHT;CAP_SENS_1;CAP_SENS_2;F1;F2;F3;F4;F5;F6;F7;F8;MELANOPIC EDI;CLEAR;STATE
16/09/2025 15:23:06;0;24.69;16;4;0.4;0;0;1;0.1;389.20;0.04;210;144;0.0064;0.0205;0.0208;0.0402;0.0636;0.0865;0.0853;0.0545;230.52;0.20;4
16/09/2025 15:23:16;0;24.69;16;757;75.7;31;3.1;37;3.7;427.00;0.04;210;145;0.0070;0.0225;0.0228;0.0443;0.0697;0.0948;0.0934;0.0593;253.83;0.21;0
16/09/2025 15:23:26;0;24.50;16;0;0;0;0;0;0;1204.15;0.11;210;145;0.0238;0.0663;0.0717;0.1289;0.1929;0.2596;0.2639;0.1848;790.36;0.58;0
16/09/2025 15:23:36;0;24.38;16;0;0;0;0;0;0;1206.17;0.11;210;145;0.0237;0.0661;0.0714;0.1286;0.1935;0.2601;0.2643;0.1850;787.74;0.58;0
16/09/2025 15:23:46;0;24.31;16;0;0;0;0;0;0;1155.41;0.10;210;145;0.0216;0.0622;0.0660;0.1213;0.1852;0.2514;0.2540;0.1729;737.39;0.55;0
17/09/2025 13:51:48;0;23.19;16;0;0;0;0;0;0;643.81;0.07;210;145;0.0120;0.0348;0.0367;0.0684;0.1047;0.1408;0.1413;0.0960;401.65;0.33;4
17/09/2025 13:51:58;0;23.38;16;0;0;0;0;0;0;467.33;0.05;211;145;0.0085;0.0252;0.0263;0.0499;0.0769;0.1029;0.1024;0.0690;283.37;0.25;4
17/09/2025 13:52:08;0;23.56;16;67;6.7;1;0.1;7;0.7;466.44;0.05;212;145;0.0085;0.0251;0.0262;0.0498;0.0768;0.1027;0.1022;0.0688;282.65;0.25;4
17/09/2025 13:52:18;0;23.69;16;633;63.3;24;2.4;39;3.9;1806.87;0.23;212;145;0.0470;0.1095;0.1311;0.2115;0.2917;0.3712;0.3947;0.3286;1339.16;0.99;0
17/09/2025 13:52:28;0;23.69;16;565;56.5;15;1.5;43;4.3;614.57;0.08;212;145;0.0087;0.0225;0.0242;0.0448;0.1058;0.1473;0.1532;0.1069;242.65;0.29;0
17/09/2025 13:52:38;0;23.88;16;842;84.2;26;2.6;63;6.3;953.65;0.11;212;145;0.0179;0.0549;0.0569;0.1064;0.1564;0.1985;0.1917;0.1324;639.01;0.47;0
17/09/2025 13:52:48;0;23.69;16;0;0;0;0;0;0;965.53;0.11;212;145;0.0182;0.0555;0.0576;0.1077;0.1585;0.2009;0.1943;0.1348;646.57;0.47;0
17/09/2025 13:52:58;0;23.56;16;0;0;0;0;0;0;967.32;0.11;212;145;0.0183;0.0557;0.0579;0.1080;0.1587;0.2010;0.1946;0.1351;649.56;0.47;0
17/09/2025 13:53:08;0;23.50;16;0;0;0;0;0;0;967.90;0.11;225;160;0.0183;0.0556;0.0579;0.1080;0.1589;0.2011;0.1948;0.1352;649.34;0.47;0
17/09/2025 13:53:18;0;23.44;16;0;0;0;0;0;0;967.98;0.11;225;160;0.0184;0.0558;0.0581;0.1082;0.1588;0.2010;0.1945;0.1353;651.48;0.47;0
17/09/2025 13:53:28;0;23.38;16;0;0;0;0;0;0;968.12;0.11;225;160;0.0183;0.0557;0.0580;0.1081;0.1589;0.2010;0.1947;0.1355;650.68;0.47;0
17/09/2025 13:53:38;0;23.31;16;0;0;0;0;0;0;972.73;0.11;225;160;0.0184;0.0560;0.0583;0.1087;0.1595;0.2021;0.1957;0.1363;653.99;0.48;0
17/09/2025 13:53:48;0;23.31;16;0;0;0;0;0;0;971.61;0.11;225;160;0.0184;0.0559;0.0584;0.1085;0.1594;0.2018;0.1954;0.1362;653.77;0.48;0
17/09/2025 13:53:58;0;23.25;16;0;0;0;0;0;0;969.14;0.11;225;160;0.0183;0.0558;0.0581;0.1082;0.1589;0.2013;0.1950;0.1355;651.64;0.47;0
17/09/2025 13:54:08;0;23.25;16;0;0;0;0;0;0;970.01;0.11;224;160;0.0183;0.0557;0.0580;0.1082;0.1592;0.2014;0.1951;0.1356;651.30;0.47;0
17/09/2025 13:54:18;0;23.19;16;0;0;0;0;0;0;968.63;0.11;224;160;0.0183;0.0557;0.0580;0.1082;0.1588;0.2012;0.1949;0.1354;651.40;0.47;0
17/09/2025 13:54:28;0;23.19;16;0;0;0;0;0;0;969.49;0.11;224;160;0.0183;0.0556;0.0580;0.1081;0.1591;0.2012;0.1949;0.1356;650.81;0.47;0
17/09/2025 13:54:38;0;23.12;16;0;0;0;0;0;0;968.55;0.11;224;160;0.0183;0.0558;0.0581;0.1082;0.1588;0.2011;0.1948;0.1356;652.01;0.47;0
